date,genre_key,page_num,workbook_ref,lesson_title,section_code,section_name,group_label,q,a,result,note
2026-06-07 08:12,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑥,オランダ風説書,batsu,
2026-06-07 08:12,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑦,清,batsu,
2026-06-07 08:12,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑧,唐人屋敷,batsu,
2026-06-07 08:13,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑨,宗氏,batsu,
2026-06-07 08:13,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑩,朝鮮通信使,batsu,
2026-06-07 08:13,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑪,琉球王国,batsu,
2026-06-07 08:14,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑫,慶賀使,batsu,
2026-06-07 08:14,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑬,謝恩使,batsu,
2026-06-07 08:23,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑭,松前藩,batsu,
2026-06-07 08:24,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑮,アイヌ民族,batsu,
2026-06-07 08:25,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑯,シャクシャイン,batsu,
2026-06-07 08:25,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[1],(1),オランダ,batsu,
2026-06-07 08:28,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[1],(2),長崎奉行,batsu,
2026-06-07 08:28,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[1],(3)①,エ,batsu,
2026-06-07 08:30,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[1],(6),朝鮮通信使,batsu,
2026-06-07 08:40,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[2],(1),イ,batsu,
2026-06-07 08:40,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B,力をつけよう,[2],(2),黒砂糖,batsu,
2026-06-07 08:41,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,資料の活用,[1],(1)A,清,batsu,
2026-06-07 08:41,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,資料の活用,[1],(1)B,出島,batsu,
2026-06-07 08:42,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,資料の活用,[1],(2),（例）藩が窓口になって貿易や交易をしていた点。,batsu,
2026-06-07 08:44,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[1],③,帯刀,batsu,
2026-06-07 08:44,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[1],⑥,水呑百姓,batsu,
2026-06-07 08:45,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[1],⑧,徳川綱吉,batsu,
2026-06-07 08:45,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[1],⑨,朱子学,batsu,
2026-06-07 08:46,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[2],⑩,新田開発,batsu,
2026-06-07 08:46,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[2],⑪,備中鍬,batsu,
2026-06-07 08:46,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[2],⑭,綿花,batsu,
2026-06-07 08:46,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[2],⑮,干鰯,batsu,
2026-06-07 08:48,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[1],(3),ア,batsu,
2026-06-07 08:50,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[1],(4),（例）犯罪を防止し、年貢の納入に連帯責任をとらせるため。,batsu,目的
2026-06-07 08:51,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[1],(5),商人,batsu,
2026-06-07 08:53,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[2],(3)Y,生野銀山,batsu,
2026-06-07 08:53,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[2],(3)X,足尾銅山,batsu,
2026-06-07 08:55,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],②,飛脚,batsu,
2026-06-07 08:59,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],③,西廻り航路,batsu,
2026-06-07 08:59,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],④,東廻り航路,batsu,
2026-06-07 09:00,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],⑤,三都,batsu,
2026-06-07 09:00,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],⑥,江戸,batsu,
2026-06-07 09:01,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],⑧,天下の台所,batsu,
2026-06-07 09:02,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],⑨,蔵屋敷,batsu,
2026-06-07 09:02,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[1],⑩,株仲間,batsu,
2026-06-07 09:03,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑫,井原西鶴,batsu,
2026-06-07 09:03,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑬,近松門左衛門,batsu,
2026-06-07 09:04,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑭,俳諧,batsu,
2026-06-07 09:04,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[1],(1),Y,batsu,
2026-06-07 09:07,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[1],(3),（例）独占的に営業を行う特権をもった商人の同業者の組織。,batsu,
2026-06-07 09:09,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(2)B,菱川師宣,batsu,
2026-06-07 09:12,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(2)C,尾形光琳,batsu,
2026-06-07 09:12,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(3),松尾芭蕉,batsu,
2026-06-07 09:12,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(4),浮世草子,batsu,
2026-06-07 09:13,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(5),（例）都市の繁栄を背景に、経済的なゆとりをもったから。,batsu,理由
2026-06-07 09:14,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B+,資料の活用,[1],(1)②,蔵屋敷,batsu,
2026-06-07 09:14,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B+,資料の活用,[1],(2),（例）全国から集まった年貢米や特産物の取り引きが行われていたから。,batsu,理由
2026-06-07 12:19,history,6,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,教科書で確認,[1],④,幕領,maru,
2026-06-07 12:19,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[2],⑯,シャクシャイン,maru,
2026-06-07 12:20,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑫,井原西鶴,maru,
2026-06-07 12:20,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[2],⑮,干鰯,maru,
2026-06-07 12:21,history,6,本誌 P.8・9,幕藩体制の始まりと貿易統制,A,教科書で確認,[1],③,（江戸）幕府,maru,
2026-06-07 12:21,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,A,教科書で確認,[1],⑦,清,batsu,
2026-06-07 12:21,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[1],⑨,朱子学,maru,
2026-06-07 12:25,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,B,力をつけよう,[2],(2)C,尾形光琳,maru,
2026-06-07 12:26,history,9,本誌 P.14・15,陸の道・海の道と元禄文化,A,教科書で確認,[2],⑭,俳諧,maru,
2026-06-07 12:26,history,8,本誌 P.12・13,身分制社会と産業の発達,B,力をつけよう,[2],(3)X,足尾銅山,batsu,
2026-06-07 12:28,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[3],⑭,葛飾北斎,maru,
2026-06-07 12:32,history,6,本誌 P.8・9,幕藩体制の始まりと貿易統制,B,力をつけよう,[1],(1)①,老中,batsu,
2026-06-07 12:32,history,10,本誌 P.16・17,社会の変化と幕府の対策,B,力をつけよう,[2],(4),（例）江戸を中心に栄えた庶民による文化。,maru,
2026-06-07 12:51,history,10,本誌 P.16・17,社会の変化と幕府の対策,A,教科書で確認,[3],⑯,蘭学,maru,
2026-06-07 12:51,history,7,本誌 P.10・11,貿易の窓口と琉球・アイヌ民族,B+,資料の活用,[1],(1)B,出島,batsu,
2026-06-07 12:52,history,8,本誌 P.12・13,身分制社会と産業の発達,A,教科書で確認,[2],⑩,新田開発,batsu,
2026-06-07 12:55,history,10,本誌 P.16・17,社会の変化と幕府の対策,B,力をつけよう,[1],(2)B,ウ,maru,
